,Latitude,Longitude,Measurement,Year,DensityClass
5138,44.6959,-1.2626,0.002,2014,1
5139,14.8961,-50.9262,0.002,2014,1
5140,14.1833,-60.0167,0.002,2014,1
5141,16.6525,-31.2053,0.002,2014,1
5142,12.0,-61.7,0.002,2014,1
5143,15.9488,-52.5159,0.002,2014,1
5144,16.6107,-33.5581,0.002,2014,1
5145,47.2109,-122.9087,0.002,2014,1
5146,14.8238,-18.112,0.002,2014,1
5147,59.4376,-150.586,0.002,2014,1
5148,14.1809,-55.9548,0.002,2014,1
5149,17.0084,-61.764,0.002,2014,1
5150,21.4667,-25.2667,0.002,2014,1
5151,-33.9879,151.2296,0.002,2014,1
5152,20.57,-37.58,0.002,2014,1
5153,58.4738,-3.1008,0.002,2014,1
5154,37.7,-122.1911,0.002,2014,1
5155,18.6749,-23.3573,0.002,2014,1
5156,-16.7,-4.3,0.002,2014,1
5157,44.6874,-1.2322,0.002,2014,1
5158,20.2103,-87.4302,0.002,2014,1
5159,-33.8536,151.2087,0.002,2014,1
5160,14.1934,-56.8385,0.002,2014,1
5161,33.4228,-117.6241,0.002,2014,1
5162,17.0765,-61.8998,0.002,2014,1
5163,23.7238,-21.2277,0.002,2014,1
5164,48.1176,-122.7514,0.002,2014,1
5165,21.2261,-24.5003,0.002,2014,1
5166,17.0123,-61.7707,0.002,2014,1
5167,24.4448,-110.3813,0.002,2014,1
5168,32.5767,-117.133,0.002,2014,1
5169,19.0881,-43.6777,0.002,2014,1
5170,15.3198,-50.4182,0.002,2014,1
5171,-33.8004,151.2856,0.002,2014,1
5172,20.5448,-86.8805,0.002,2014,1
5173,40.4782,-74.0163,0.002,2014,1
5174,-33.8456,151.2812,0.002,2014,1
5175,12.4856,-61.4597,0.002,2014,1
5176,15.5034,-52.455,0.002,2014,1
5177,43.1094,3.1144,0.002,2014,1
5178,20.9308,-27.1952,0.002,2014,1
5179,18.3358,-64.9278,0.002,2014,1
5180,21.7028,-32.5263,0.002,2014,1
5181,-35.2133,174.135,0.002,2014,1
